# Summary of catch at age: 
#   
# Estimates are extracted from: SILD'G032018.fit.2018_allgears_totalarea_season1234 
# based on fitted object: SILD'G032018.fit 
#   
# Catch at age is summed over: 
# years: 2018 
# areas: 0 4 5 6 7 12 28 30 34 36 37 
# gears: 35 37 
# seasons: 1 2 3 4 
# total used catch: 332026.527 tons 
# total reported catch: 332026.527 tons  
#Catch at age (millions) 
age	mean	sd	5%	95%
# 11	391.64619	8.39213	380.07905	406.84265
# 12	397.67545	5.13687	389.4596	406.64144
# 13	400.94107	8.84736	388.93704	413.84133
# 14	403.41936	5.75233	394.3684	412.9534
# 15+	405.50938	6.59639	395.05567	416.49491
# Mean weight in catch 
# mean	sd	5%	95%
# 331.60583	3.40704	326.07637	337.21661
#    
# Catch at length (millions) 
# length	mean	sd	5%	95%
# 0.5	0	0	0	0
# 1.5	0	0	0	0
# 2.5	0	0	0	0
# 3.5	0	0	0	0
# 4.5	0	0	0	0
# 5.5	0	0	0	0
# 6.5	0	0	0	0
# 7.5	0	0	0	0
# 8.5	0	0	0	0
# 9.5	0	0	0	0
# 10.5	0	0	0	0
# 11.5	0	0	0	0
# 12.5	1e-05	0.00025	0	0
# 13.5	8e-05	0.00054	0	0.00015
# 14.5	0.02297	0.04876	0	0.11251
# 15.5	0.0659	0.1085	0	0.31179
# 16.5	0.00136	0.00949	0	0.00479
# 17.5	0.00112	0.00476	0	0.00515
# 18.5	0.00859	0.04464	0	0.02379
# 19.5	0.43057	0.49619	0.01432	1.50223
# 20.5	0.74928	0.74554	0.13014	2.23465
# 21.5	0.08685	0.35363	0	0.33413
# 22.5	0.01063	0.09345	0	0.03125
# 23.5	0.34122	1.71613	0.0232	0.72148
# 24.5	20.08093	6.04565	12.4516	31.32395
# 25.5	1.50547	1.5722	0.05312	4.62926
# 26.5	1.8983	2.53381	0.03117	6.97325
# 27.5	21.28404	5.54521	12.39915	30.6031
# 28.5	17.16507	10.14769	5.02994	31.72039
# 29.5	40.95976	11.71731	22.8398	59.76513
# 30.5	81.15372	14.10168	63.46645	109.35425
# 31.5	69.90363	14.53201	45.10406	92.46754
# 32.5	116.89579	15.69234	92.30571	144.76255
# 33.5	124.44073	20.02072	94.60968	159.45631
# 34.5	200.80426	20.38928	168.61355	234.4935
# 35.5	261.21923	25.2402	220.48755	300.8925
# 36.5	38.46903	21.71432	7.49219	76.66628
# 37.5	3.03213	5.65772	0	16.32261
# 38.5	0.65059	2.82215	0	2.85386
# 39.5	0.13334	1.11554	0	0.29185
# 40.5	0.04773	0.81504	0	0
# 41.5	0.00931	0.14526	0	0
# 42.5	0.00221	0.04862	0	0
# 43.5	0.00025	0.00562	0	0
# 44.5	0	0	0	0
# 45.5	0	0	0	0
# 46.5	0	0	0	0
# 47.5	0	0	0	0
# 48.5	0	0	0	0
# 49.5	0	0	0	0
# 50.5	0	0	0	0
# 51.5	0	0	0	0
# 52.5	0	0	0	0
# 53.5	0	0	0	0
# 54.5	0	0	0	0
# 55.5	0	0	0	0
# 56.5	0	0	0	0
# 57.5	0	0	0	0
# 58.5	0	0	0	0
# 59.5	0	0	0	0
# 60.5	0	0	0	0
# 61.5	0	0	0	0
# 62.5	0	0	0	0
# 63.5	0	0	0	0
# 64.5	0	0	0	0
# 65.5	0	0	0	0
# 66.5	0	0	0	0
# 67.5	0	0	0	0
# 68.5	0	0	0	0
# 69.5	0	0	0	0
# 70.5	0	0	0	0
# 71.5	0	0	0	0
# 72.5	0	0	0	0
# 73.5	0	0	0	0
# 74.5	0	0	0	0
# 75.5	0	0	0	0
# 76.5	0	0	0	0
# 77.5	0	0	0	0
# 78.5	0	0	0	0
# 79.5	0	0	0	0
# 80.5	0	0	0	0
# 81.5	0	0	0	0
# 82.5	0	0	0	0
# 83.5	0	0	0	0
# 84.5	0	0	0	0
# 85.5	0	0	0	0
# 86.5	0	0	0	0
# 87.5	0	0	0	0
# 88.5	0	0	0	0
# 89.5	0	0	0	0
# 90.5	0	0	0	0
# 91.5	0	0	0	0
# 92.5	0	0	0	0
# 93.5	0	0	0	0
# 94.5	0	0	0	0
# 95.5	0	0	0	0
# 96.5	0	0	0	0
# 97.5	0	0	0	0
# 98.5	0	0	0	0
# 99.5	0	0	0	0
# 100.5	0	0	0	0
# 101.5	0	0	0	0
# 102.5	0	0	0	0
# 103.5	0	0	0	0
# 104.5	0	0	0	0
# 105.5	0	0	0	0
# 106.5	0	0	0	0
# 107.5	0	0	0	0
# 108.5	0	0	0	0
# 109.5	0	0	0	0
# 110.5	0	0	0	0
# 111.5	0	0	0	0
# 112.5	0	0	0	0
# 113.5	0	0	0	0
# 114.5	0	0	0	0
# 115.5	0	0	0	0
# 116.5	0	0	0	0
# 117.5	0	0	0	0
# 118.5	0	0	0	0
# 119.5	0	0	0	0
# 120.5	0	0	0	0
# 121.5	0	0	0	0
# 122.5	0	0	0	0
# 123.5	0	0	0	0
# 124.5	0	0	0	0
# 125.5	0	0	0	0
# 126.5	0	0	0	0
# 127.5	0	0	0	0
# 128.5	0	0	0	0
# 129.5	0	0	0	0
# 130.5	0	0	0	0
# 131.5	0	0	0	0
# 132.5	0	0	0	0
# 133.5	0	0	0	0
# 134.5	0	0	0	0
# 135.5	0	0	0	0
# 136.5	0	0	0	0
# 137.5	0	0	0	0
# 138.5	0	0	0	0
# 139.5	0	0	0	0
# 140.5	0	0	0	0
# 141.5	0	0	0	0
# 142.5	0	0	0	0
# 143.5	0	0	0	0
# 144.5	0	0	0	0
# 145.5	0	0	0	0
# 146.5	0	0	0	0
# 147.5	0	0	0	0
# 148.5	0	0	0	0
# 149.5	0	0	0	0
# 150.5	0	0	0	0
# 151.5	0	0	0	0
# 152.5	0	0	0	0
# 153.5	0	0	0	0
# 154.5	0	0	0	0
# 155.5	0	0	0	0
# 156.5	0	0	0	0
# 157.5	0	0	0	0
# 158.5	0	0	0	0
# 159.5	0	0	0	0
# 160.5	0	0	0	0
# 161.5	0	0	0	0
# 162.5	0	0	0	0
# 163.5	0	0	0	0
# 164.5	0	0	0	0
# 165.5	0	0	0	0
# 166.5	0	0	0	0
# 167.5	0	0	0	0
# 168.5	0	0	0	0
# 169.5	0	0	0	0
# 170.5	0	0	0	0
# 171.5	0	0	0	0
# 172.5	0	0	0	0
# 173.5	0	0	0	0
# 174.5	0	0	0	0
# 175.5	0	0	0	0
# 176.5	0	0	0	0
# 177.5	0	0	0	0
# 178.5	0	0	0	0
# 179.5	0	0	0	0
# 180.5	0	0	0	0
# 181.5	0	0	0	0
# 182.5	0	0	0	0
# 183.5	0	0	0	0
# 184.5	0	0	0	0
# 185.5	0	0	0	0
# 186.5	0	0	0	0
# 187.5	0	0	0	0
# 188.5	0	0	0	0
# 189.5	0	0	0	0
# 190.5	0	0	0	0
# 191.5	0	0	0	0
# 192.5	0	0	0	0
# 193.5	0	0	0	0
# 194.5	0	0	0	0
# 195.5	0	0	0	0
# 196.5	0	0	0	0
# 197.5	0	0	0	0
# 198.5	0	0	0	0
# 199.5	0	0	0	0
# 200.5	0	0	0	0
# 201.5	0	0	0	0
# 202.5	0	0	0	0
# 203.5	0	0	0	0
# 204.5	0	0	0	0
# 205.5	0	0	0	0
# 206.5	0	0	0	0
# 207.5	0	0	0	0
# 208.5	0	0	0	0
# 209.5	0	0	0	0
# 210.5	0	0	0	0
# 211.5	0	0	0	0
# 212.5	0	0	0	0
# 213.5	0	0	0	0
# 214.5	0	0	0	0
# 215.5	0	0	0	0
# 216.5	0	0	0	0
# 217.5	0	0	0	0
# 218.5	0	0	0	0
# 219.5	0	0	0	0
# 220.5	0	0	0	0
# 221.5	0	0	0	0
# 222.5	0	0	0	0
# 223.5	0	0	0	0
# 224.5	0	0	0	0
# 225.5	0	0	0	0
# 226.5	0	0	0	0
# 227.5	0	0	0	0
# 228.5	0	0	0	0
# 229.5	0	0	0	0
# 230.5	0	0	0	0
# 231.5	0	0	0	0
# 232.5	0	0	0	0
# 233.5	0	0	0	0
# 234.5	0	0	0	0
# 235.5	0	0	0	0
# 236.5	0	0	0	0
# 237.5	0	0	0	0
# 238.5	0	0	0	0
# 239.5	0	0	0	0
# Mean length in catch 
# mean	sd	5%	95%
# 33.25073	0.10066	33.07679	33.41019
#    
# 
